dataset_option,dataset_type,model_type,features,recall_mean,recall_std,accuracy,recall,precision,f1,auc
opt7,train,sgd,original,,,0.7614373417501994,0.6499384236453202,0.2688487009679062,0.3803603603603603,0.7127657954915028
opt7,test,sgd,original,,,0.765153354374039,0.6867816091954023,0.2793687901811806,0.3971749065226422,0.7309421041873044
opt7,train,decision_tree,original,,,0.9258437098955984,0.4159482758620689,0.8486180904522613,0.5582644628099174,0.7032639788410138
opt7,test,decision_tree,original,,,0.891964068948774,0.2686781609195402,0.5412445730824892,0.3590974555928948,0.6198839961004451
opt7,train,random_forest,original,,,0.7630328465887413,0.666564039408867,0.2735658327015415,0.3879233112345457,0.7209222495445617
opt7,test,random_forest,original,,,0.7700898276280651,0.6939655172413793,0.2857142857142857,0.404776869893149,0.7368596396056418
opt7,train,knn,original,,,0.9954562796989352,0.978756157635468,0.9808701018204258,0.9798119895207272,0.9881663366451976
opt7,test,knn,original,,,0.8540098729465081,0.334051724137931,0.3464977645305514,0.3401609363569861,0.6270349819960062
opt8,train,logistic_regression,original,,,0.7171100551489716,0.7032019704433498,0.2410299704516673,0.3590066016975793,0.7110388932074466
opt8,test,logistic_regression,original,,,0.7254997167597314,0.7320402298850575,0.2523526498266468,0.3753222836095764,0.7283548162649182
opt8,train,sgd,original,,,0.7548472130692657,0.6702586206896551,0.2663322730609249,0.3811941866573279,0.7179225714948101
opt8,test,sgd,original,,,0.7576272558064255,0.7004310344827587,0.2744159864902899,0.3943377148634985,0.7326596576882558
opt8,train,decision_tree,original,,,0.9092990184176756,0.3445197044334975,0.697196261682243,0.4611580465691324,0.6627613571223503
opt8,test,decision_tree,original,,,0.8972242453669984,0.2816091954022988,0.5921450151057401,0.3816942551119766,0.6284926961963614
opt8,train,random_forest,original,,,0.7684783739724602,0.6594827586206896,0.2777849824925431,0.3909115795236791,0.7208995702965465
opt8,test,random_forest,original,,,0.7761592619567856,0.6867816091954023,0.2909312233718807,0.4087216759298845,0.7371436545749014
opt8,train,knn,original,,,0.9953175401477576,0.9778325123152708,0.9805495523309664,0.9791891475258208,0.9876849697565098
opt8,test,knn,original,,,0.8521485797523671,0.3283045977011494,0.3387694588584136,0.3334549434512951,0.6234774242495715
opt9,train,logistic_regression,original,,,0.7085428878637577,0.7072044334975369,0.235613909118884,0.3534661845041163,0.707958625301323
opt9,test,logistic_regression,original,,,0.7170834344905721,0.7313218390804598,0.2458937198067632,0.3680404916847433,0.7232988584367186
opt9,train,sgd,original,,,0.7651139398564045,0.6477832512315271,0.2721158820486291,0.3832422586520947,0.7138967071151969
opt9,test,sgd,original,,,0.7704135307922635,0.6839080459770115,0.2842639593908629,0.4016030373338958,0.7326516974071104
opt9,train,decision_tree,original,,,0.917484651937151,0.4002463054187192,0.7510109763142692,0.5221932114882507,0.6916995901873724
opt9,test,decision_tree,original,,,0.8949583232176095,0.3089080459770115,0.5613577023498695,0.3985171455050973,0.6391325455603252
opt9,train,random_forest,original,,,0.7723630814054316,0.6530172413793104,0.2806669313219531,0.392596020360944,0.7202661940782337
opt9,test,random_forest,original,,,0.7770494456583313,0.6788793103448276,0.2905010759299108,0.4068891280947255,0.7341956971240782
opt9,train,knn,original,,,0.9953175401477576,0.9778325123152708,0.9805495523309664,0.9791891475258208,0.9876849697565098
opt9,test,knn,original,,,0.8528769118718136,0.3318965517241379,0.3422222222222222,0.336980306345733,0.6254557998018775
opt10,train,logistic_regression,original,,,0.7173181644757379,0.7028940886699507,0.2411280101394169,0.3590751808744888,0.7110217619208723
opt10,test,logistic_regression,original,,,0.7259043457149794,0.7313218390804598,0.2525427933515257,0.3754379494744606,0.7282692186738368
opt10,train,sgd,original,,,0.7618188755159377,0.6708743842364532,0.2731603359659019,0.3882405345211581,0.7221197547574791
opt10,test,sgd,original,,,0.7640203932993445,0.7033045977011494,0.2811602527283171,0.4017234304472712,0.7375164119376699
opt10,train,decision_tree,original,,,0.9085706357739932,0.3386699507389162,0.6926952141057935,0.4549214226633581,0.6597973918178809
opt10,test,decision_tree,original,,,0.897952577486445,0.2772988505747126,0.6021840873634945,0.3797343826856861,0.6270215183106121
opt10,train,random_forest,original,,,0.7862370365231869,0.6533251231527094,0.2964101131442939,0.407802440664937,0.7282182821720629
opt10,test,random_forest,original,,,0.7918588654204095,0.6795977011494253,0.3079427083333333,0.4238351254480286,0.7428540261333083
opt10,train,knn,original,,,0.9953175401477576,0.9778325123152708,0.9805495523309664,0.9791891475258208,0.9876849697565098
opt10,test,knn,original,,,0.8499635833940277,0.3096264367816091,0.3255287009063444,0.3173784977908688,0.6140927441545985
gv,train,logistic_regression,original,,,0.7194024542059398,0.7024821489289358,0.2275330396475771,0.34373180267864567,0.7119306748458136
gv,test,logistic_regression,original,,,0.7155186721991701,0.6518636003172086,0.21569141957491472,0.32413249211356465,0.687411084614995
gv,train,sgd,original,,,0.6761515205406367,0.7266235974158449,0.20473270741521366,0.3194558636669408,0.6984393112208326
gv,test,sgd,original,,,0.6711203319502075,0.675654242664552,0.19337267362687244,0.3006881948120699,0.673122329414582
gv,train,decision_tree,original,,,0.9228170016005691,0.4046242774566474,0.7395898073337477,0.5230769230769231,0.693990060393534
gv,test,decision_tree,original,,,0.8925311203319503,0.2640761300555115,0.4757142857142857,0.339622641509434,0.6150300012591025
gv,train,random_forest,original,,,0.7281878001067046,0.6977218633117988,0.23304940374787053,0.3493955389068619,0.7147344519546203
gv,test,random_forest,original,,,0.7223236514522822,0.6471054718477399,0.2195318805488297,0.32784250703093615,0.6891102482048969
gv,train,knn,original,,,0.994486928685755,0.9738184291057463,0.973487423521414,0.9736528981812,0.9853599971063013
gv,test,knn,original,,,0.8510373443983402,0.28072957969865187,0.28502415458937197,0.28286056731921694,0.599211763618906
